frequency	V(onoise)
6.025595860743565e+001	3.209266e-005
6.165950018614809e+001	3.193192e-005
6.309573444801919e+001	3.177143e-005
6.456542290346542e+001	3.161130e-005
6.606934480075947e+001	3.145166e-005
6.760829753919803e+001	3.129259e-005
6.918309709189350e+001	3.113419e-005
7.079457843841364e+001	3.097656e-005
7.244359600749884e+001	3.081976e-005
7.413102413009158e+001	3.066389e-005
7.585775750291819e+001	3.050903e-005
7.762471166286898e+001	3.035522e-005
7.943282347242794e+001	3.020256e-005
8.128305161640971e+001	3.005109e-005
8.317637711026687e+001	2.990088e-005
8.511380382023741e+001	2.975198e-005
8.709635899560782e+001	2.960443e-005
8.912509381337429e+001	2.945828e-005
9.120108393559070e+001	2.931358e-005
9.332543007969882e+001	2.917036e-005
9.549925860214330e+001	2.902865e-005
9.772372209558077e+001	2.888849e-005
9.999999999999969e+001	2.874991e-005
1.023292992280751e+002	2.861294e-005
1.047128548050896e+002	2.847758e-005
1.071519305237603e+002	2.834388e-005
1.096478196143182e+002	2.821183e-005
1.122018454301960e+002	2.808147e-005
1.148153621496879e+002	2.795279e-005
1.174897554939526e+002	2.782582e-005
1.202264434617409e+002	2.770055e-005
1.230268770812378e+002	2.757701e-005
1.258925411794163e+002	2.745518e-005
1.288249551693130e+002	2.733508e-005
1.318256738556403e+002	2.721670e-005
1.348962882591650e+002	2.710004e-005
1.380384264602881e+002	2.698511e-005
1.412537544622750e+002	2.687190e-005
1.445439770745923e+002	2.676040e-005
1.479108388168203e+002	2.665062e-005
1.513561248436203e+002	2.654253e-005
1.548816618912476e+002	2.643613e-005
1.584893192461108e+002	2.633142e-005
1.621810097358925e+002	2.622839e-005
1.659586907437555e+002	2.612701e-005
1.698243652461738e+002	2.602729e-005
1.737800828749369e+002	2.592920e-005
1.778279410038917e+002	2.583274e-005
1.819700858609977e+002	2.573789e-005
1.862087136662861e+002	2.564463e-005
1.905460717963240e+002	2.555296e-005
1.949844599758038e+002	2.546284e-005
1.995262314968873e+002	2.537428e-005
2.041737944669522e+002	2.528724e-005
2.089296130854032e+002	2.520172e-005
2.137962089502224e+002	2.511770e-005
2.187761623949544e+002	2.503515e-005
2.238721138568331e+002	2.495405e-005
2.290867652767765e+002	2.487440e-005
2.344228815319913e+002	2.479617e-005
2.398832919019481e+002	2.471935e-005
2.454708915685021e+002	2.464390e-005
2.511886431509570e+002	2.456982e-005
2.570395782768854e+002	2.449709e-005
2.630267991895371e+002	2.442567e-005
2.691534803926905e+002	2.435556e-005
2.754228703338155e+002	2.428673e-005
2.818382931264442e+002	2.421917e-005
2.884031503126594e+002	2.415285e-005
2.951209226666373e+002	2.408775e-005
3.019951720402004e+002	2.402386e-005
3.090295432513578e+002	2.396115e-005
3.162277660168366e+002	2.389959e-005
3.235936569296269e+002	2.383919e-005
3.311311214825897e+002	2.377990e-005
3.388441561392011e+002	2.372171e-005
3.467368504525301e+002	2.366460e-005
3.548133892335739e+002	2.360856e-005
3.630780547700998e+002	2.355355e-005
3.715352290971709e+002	2.349956e-005
3.801893963205595e+002	2.344658e-005
3.890451449942788e+002	2.339457e-005
3.981071705534954e+002	2.334352e-005
4.073802778041108e+002	2.329341e-005
4.168693834703334e+002	2.324421e-005
4.265795188015906e+002	2.319592e-005
4.365158322401638e+002	2.314850e-005
4.466835921509609e+002	2.310195e-005
4.570881896148728e+002	2.305623e-005
4.677351412871959e+002	2.301133e-005
4.786300923226360e+002	2.296723e-005
4.897788193684438e+002	2.292390e-005
5.011872336272698e+002	2.288134e-005
5.128613839913622e+002	2.283952e-005
5.248074602497699e+002	2.279842e-005
5.370317963702499e+002	2.275801e-005
5.495408738576217e+002	2.271829e-005
5.623413251903462e+002	2.267923e-005
5.754399373371540e+002	2.264081e-005
5.888436553555860e+002	2.260301e-005
6.025595860743547e+002	2.256580e-005
6.165950018614790e+002	2.252918e-005
6.309573444801899e+002	2.249312e-005
6.456542290346521e+002	2.245760e-005
6.606934480075925e+002	2.242260e-005
6.760829753919782e+002	2.238811e-005
6.918309709189327e+002	2.235409e-005
7.079457843841341e+002	2.232052e-005
7.244359600749862e+002	2.228740e-005
7.413102413009135e+002	2.225470e-005
7.585775750291797e+002	2.222239e-005
7.762471166286875e+002	2.219045e-005
7.943282347242772e+002	2.215887e-005
8.128305161640948e+002	2.212763e-005
8.317637711026664e+002	2.209669e-005
8.511380382023717e+002	2.206604e-005
8.709635899560758e+002	2.203565e-005
8.912509381337405e+002	2.200551e-005
9.120108393559046e+002	2.197559e-005
9.332543007969858e+002	2.194586e-005
9.549925860214306e+002	2.191630e-005
9.772372209558052e+002	2.188690e-005
9.999999999999944e+002	2.185761e-005
1.023292992280748e+003	2.182843e-005
1.047128548050894e+003	2.179931e-005
1.071519305237600e+003	2.177024e-005
1.096478196143179e+003	2.174120e-005
1.122018454301957e+003	2.171214e-005
1.148153621496876e+003	2.168305e-005
1.174897554939523e+003	2.165389e-005
1.202264434617406e+003	2.162464e-005
1.230268770812374e+003	2.159527e-005
1.258925411794160e+003	2.156575e-005
1.288249551693126e+003	2.153604e-005
1.318256738556399e+003	2.150612e-005
1.348962882591645e+003	2.147595e-005
1.380384264602876e+003	2.144549e-005
1.412537544622745e+003	2.141472e-005
1.445439770745918e+003	2.138360e-005
1.479108388168198e+003	2.135209e-005
1.513561248436198e+003	2.132015e-005
1.548816618912471e+003	2.128776e-005
1.584893192461103e+003	2.125486e-005
1.621810097358919e+003	2.122142e-005
1.659586907437550e+003	2.118740e-005
1.698243652461733e+003	2.115276e-005
1.737800828749364e+003	2.111745e-005
1.778279410038911e+003	2.108142e-005
1.819700858609972e+003	2.104465e-005
1.862087136662855e+003	2.100706e-005
1.905460717963235e+003	2.096863e-005
1.949844599758033e+003	2.092930e-005
1.995262314968866e+003	2.088903e-005
2.041737944669516e+003	2.084775e-005
2.089296130854025e+003	2.080543e-005
2.137962089502218e+003	2.076200e-005
2.187761623949538e+003	2.071741e-005
2.238721138568325e+003	2.067161e-005
2.290867652767758e+003	2.062455e-005
2.344228815319906e+003	2.057615e-005
2.398832919019474e+003	2.052638e-005
2.454708915685013e+003	2.047516e-005
2.511886431509563e+003	2.042244e-005
2.570395782768846e+003	2.036815e-005
2.630267991895363e+003	2.031225e-005
2.691534803926897e+003	2.025465e-005
2.754228703338147e+003	2.019531e-005
2.818382931264433e+003	2.013416e-005
2.884031503126585e+003	2.007113e-005
2.951209226666364e+003	2.000616e-005
3.019951720401994e+003	1.993920e-005
3.090295432513567e+003	1.987017e-005
3.162277660168356e+003	1.979901e-005
3.235936569296258e+003	1.972566e-005
3.311311214825886e+003	1.965006e-005
3.388441561392000e+003	1.957215e-005
3.467368504525290e+003	1.949187e-005
3.548133892335728e+003	1.940915e-005
3.630780547700986e+003	1.932395e-005
3.715352290971697e+003	1.923621e-005
3.801893963205583e+003	1.914586e-005
3.890451449942776e+003	1.905287e-005
3.981071705534941e+003	1.895719e-005
4.073802778041095e+003	1.885876e-005
4.168693834703321e+003	1.875755e-005
4.265795188015893e+003	1.865351e-005
4.365158322401625e+003	1.854662e-005
4.466835921509595e+003	1.843683e-005
4.570881896148713e+003	1.832412e-005
4.677351412871944e+003	1.820848e-005
4.786300923226344e+003	1.808987e-005
4.897788193684422e+003	1.796829e-005
5.011872336272681e+003	1.784372e-005
5.128613839913606e+003	1.771618e-005
5.248074602497683e+003	1.758565e-005
5.370317963702482e+003	1.745215e-005
5.495408738576200e+003	1.731570e-005
5.623413251903444e+003	1.717631e-005
5.754399373371521e+003	1.703401e-005
5.888436553555840e+003	1.688885e-005
6.025595860743527e+003	1.674085e-005
6.165950018614770e+003	1.659006e-005
6.309573444801879e+003	1.643655e-005
6.456542290346501e+003	1.628036e-005
6.606934480075904e+003	1.612158e-005
6.760829753919760e+003	1.596026e-005
6.918309709189306e+003	1.579650e-005
7.079457843841318e+003	1.563037e-005
7.244359600749838e+003	1.546197e-005
7.413102413009111e+003	1.529139e-005
7.585775750291772e+003	1.511874e-005
7.762471166286850e+003	1.494413e-005
7.943282347242746e+003	1.476766e-005
8.128305161640922e+003	1.458945e-005
8.317637711026639e+003	1.440963e-005
8.511380382023692e+003	1.422832e-005
8.709635899560732e+003	1.404564e-005
8.912509381337379e+003	1.386173e-005
9.120108393559020e+003	1.367671e-005
9.332543007969831e+003	1.349072e-005
9.549925860214278e+003	1.330389e-005
9.772372209558023e+003	1.311637e-005
9.999999999999915e+003	1.292828e-005
1.023292992280745e+004	1.273976e-005
1.047128548050891e+004	1.255095e-005
1.071519305237597e+004	1.236198e-005
1.096478196143176e+004	1.217298e-005
1.122018454301954e+004	1.198410e-005
1.148153621496873e+004	1.179544e-005
1.174897554939519e+004	1.160715e-005
1.202264434617402e+004	1.141934e-005
1.230268770812371e+004	1.123214e-005
1.258925411794156e+004	1.104566e-005
1.288249551693123e+004	1.086002e-005
1.318256738556395e+004	1.067532e-005
1.348962882591642e+004	1.049167e-005
1.380384264602873e+004	1.030918e-005
1.412537544622742e+004	1.012793e-005
1.445439770745914e+004	9.948032e-006
1.479108388168194e+004	9.769558e-006
1.513561248436194e+004	9.592597e-006
1.548816618912467e+004	9.417226e-006
1.584893192461099e+004	9.243520e-006
1.621810097358915e+004	9.071547e-006
1.659586907437545e+004	8.901370e-006
1.698243652461729e+004	8.733050e-006
1.737800828749359e+004	8.566641e-006
1.778279410038906e+004	8.402192e-006
1.819700858609967e+004	8.239752e-006
1.862087136662850e+004	8.079360e-006
1.905460717963229e+004	7.921054e-006
1.949844599758027e+004	7.764866e-006
1.995262314968861e+004	7.610828e-006
2.041737944669510e+004	7.458962e-006
2.089296130854020e+004	7.309291e-006
2.137962089502212e+004	7.161832e-006
2.187761623949532e+004	7.016601e-006
2.238721138568319e+004	6.873609e-006
2.290867652767752e+004	6.732863e-006
2.344228815319900e+004	6.594369e-006
2.398832919019468e+004	6.458129e-006
2.454708915685007e+004	6.324142e-006
2.511886431509556e+004	6.192407e-006
2.570395782768839e+004	6.062917e-006
2.630267991895357e+004	5.935666e-006
2.691534803926890e+004	5.810643e-006
2.754228703338140e+004	5.687837e-006
2.818382931264427e+004	5.567235e-006
2.884031503126578e+004	5.448822e-006
2.951209226666357e+004	5.332581e-006
3.019951720401986e+004	5.218495e-006
3.090295432513560e+004	5.106543e-006
3.162277660168348e+004	4.996705e-006
3.235936569296250e+004	4.888961e-006
3.311311214825878e+004	4.783285e-006
3.388441561391991e+004	4.679657e-006
3.467368504525281e+004	4.578050e-006
3.548133892335718e+004	4.478441e-006
3.630780547700976e+004	4.380801e-006
3.715352290971687e+004	4.285107e-006
3.801893963205573e+004	4.191331e-006
3.890451449942766e+004	4.099445e-006
3.981071705534931e+004	4.009422e-006
4.073802778041085e+004	3.921234e-006
4.168693834703310e+004	3.834852e-006
4.265795188015881e+004	3.750249e-006
4.365158322401613e+004	3.667396e-006
4.466835921509584e+004	3.586264e-006
4.570881896148701e+004	3.506824e-006
4.677351412871932e+004	3.429049e-006
4.786300923226332e+004	3.352910e-006
4.897788193684409e+004	3.278376e-006
5.011872336272668e+004	3.205422e-006
5.128613839913593e+004	3.134018e-006
5.248074602497669e+004	3.064136e-006
5.370317963702469e+004	2.995748e-006
5.495408738576186e+004	2.928826e-006
5.623413251903430e+004	2.863344e-006
5.754399373371507e+004	2.799273e-006
5.888436553555826e+004	2.736587e-006
6.025595860743512e+004	2.675259e-006
6.165950018614754e+004	2.615262e-006
6.309573444801863e+004	2.556571e-006
6.456542290346484e+004	2.499160e-006
6.606934480075887e+004	2.443004e-006
6.760829753919743e+004	2.388077e-006
6.918309709189288e+004	2.334354e-006
7.079457843841300e+004	2.281811e-006
7.244359600749819e+004	2.230425e-006
7.413102413009091e+004	2.180171e-006
7.585775750291752e+004	2.131026e-006
7.762471166286830e+004	2.082967e-006
7.943282347242725e+004	2.035972e-006
8.128305161640899e+004	1.990019e-006
8.317637711026614e+004	1.945085e-006
8.511380382023666e+004	1.901149e-006
8.709635899560705e+004	1.858191e-006
8.912509381337352e+004	1.816189e-006
9.120108393558991e+004	1.775123e-006
9.332543007969801e+004	1.734973e-006
9.549925860214247e+004	1.695720e-006
9.772372209557991e+004	1.657343e-006
1.000000000000000e+005	1.619826e-006
