frequency	V(onoise)
1.824021678711814e+002	2.809527e-007
1.866508601593976e+002	2.798151e-007
1.909985172042866e+002	2.787042e-007
1.954474441911615e+002	2.776195e-007
1.999999999999994e+002	2.765603e-007
2.046585984561502e+002	2.755260e-007
2.094257096101792e+002	2.745159e-007
2.143038610475206e+002	2.735296e-007
2.192956392286363e+002	2.725664e-007
2.244036908603920e+002	2.716257e-007
2.296307242993758e+002	2.707071e-007
2.349795109879052e+002	2.698100e-007
2.404528869234818e+002	2.689338e-007
2.460537541624755e+002	2.680782e-007
2.517850823588327e+002	2.672425e-007
2.576499103386260e+002	2.664263e-007
2.636513477112806e+002	2.656292e-007
2.697925765183299e+002	2.648506e-007
2.760768529205761e+002	2.640902e-007
2.825075089245500e+002	2.633475e-007
2.890879541491846e+002	2.626221e-007
2.958216776336406e+002	2.619135e-007
3.027122496872407e+002	2.612215e-007
3.097633237824953e+002	2.605455e-007
3.169786384922217e+002	2.598852e-007
3.243620194717849e+002	2.592403e-007
3.319173814875110e+002	2.586103e-007
3.396487304923477e+002	2.579950e-007
3.475601657498739e+002	2.573939e-007
3.556558820077833e+002	2.568067e-007
3.639401717219954e+002	2.562332e-007
3.724174273325722e+002	2.556729e-007
3.810921435926481e+002	2.551256e-007
3.899689199516077e+002	2.545910e-007
3.990524629937745e+002	2.540687e-007
4.083475889339044e+002	2.535585e-007
4.178592261708064e+002	2.530601e-007
4.275924179004448e+002	2.525732e-007
4.375523247899089e+002	2.520975e-007
4.477442277136663e+002	2.516329e-007
4.581735305535529e+002	2.511789e-007
4.688457630639826e+002	2.507354e-007
4.797665838038963e+002	2.503022e-007
4.909417831370042e+002	2.498789e-007
5.023772863019141e+002	2.494654e-007
5.140791565537708e+002	2.490614e-007
5.260535983790743e+002	2.486668e-007
5.383069607853810e+002	2.482812e-007
5.508457406676311e+002	2.479044e-007
5.636765862528885e+002	2.475364e-007
5.768063006253188e+002	2.471768e-007
5.902418453332747e+002	2.468255e-007
6.039903440804008e+002	2.464822e-007
6.180590865027156e+002	2.461468e-007
6.324555320336732e+002	2.458192e-007
6.471873138592538e+002	2.454990e-007
6.622622429651793e+002	2.451862e-007
6.776883122784021e+002	2.448806e-007
6.934737009050602e+002	2.445820e-007
7.096267784671478e+002	2.442902e-007
7.261561095401995e+002	2.440052e-007
7.430704581943418e+002	2.437266e-007
7.603787926411189e+002	2.434545e-007
7.780902899885576e+002	2.431885e-007
7.962143411069908e+002	2.429287e-007
8.147605556082216e+002	2.426748e-007
8.337387669406668e+002	2.424267e-007
8.531590376031812e+002	2.421843e-007
8.730316644803277e+002	2.419474e-007
8.933671843019218e+002	2.417160e-007
9.141763792297455e+002	2.414898e-007
9.354702825743917e+002	2.412687e-007
9.572601846452719e+002	2.410528e-007
9.795576387368875e+002	2.408417e-007
1.002374467254540e+003	2.406355e-007
1.025722767982725e+003	2.404339e-007
1.049614920499540e+003	2.402370e-007
1.074063592740500e+003	2.400445e-007
1.099081747715243e+003	2.398564e-007
1.124682650380692e+003	2.396726e-007
1.150879874674308e+003	2.394930e-007
1.177687310711172e+003	2.393174e-007
1.205119172148709e+003	2.391458e-007
1.233190003722958e+003	2.389781e-007
1.261914688960380e+003	2.388142e-007
1.291308458069304e+003	2.386541e-007
1.321386896015185e+003	2.384975e-007
1.352165950783956e+003	2.383445e-007
1.383661941837866e+003	2.381949e-007
1.415891568768268e+003	2.380487e-007
1.448871920149972e+003	2.379058e-007
1.482620482601827e+003	2.377661e-007
1.517155150058359e+003	2.376295e-007
1.552494233257375e+003	2.374961e-007
1.588656469448554e+003	2.373656e-007
1.625661032328190e+003	2.372380e-007
1.663527542205333e+003	2.371132e-007
1.702276076404743e+003	2.369913e-007
1.741927179912152e+003	2.368721e-007
1.782501876267481e+003	2.367555e-007
1.824021678711809e+003	2.366415e-007
1.866508601593972e+003	2.365300e-007
1.909985172042861e+003	2.364209e-007
1.954474441911611e+003	2.363143e-007
1.999999999999989e+003	2.362100e-007
2.046585984561497e+003	2.361080e-007
2.094257096101787e+003	2.360082e-007
2.143038610475201e+003	2.359106e-007
2.192956392286358e+003	2.358151e-007
2.244036908603914e+003	2.357217e-007
2.296307242993752e+003	2.356303e-007
2.349795109879045e+003	2.355408e-007
2.404528869234812e+003	2.354532e-007
2.460537541624748e+003	2.353675e-007
2.517850823588319e+003	2.352836e-007
2.576499103386252e+003	2.352015e-007
2.636513477112798e+003	2.351210e-007
2.697925765183290e+003	2.350422e-007
2.760768529205752e+003	2.349651e-007
2.825075089245491e+003	2.348895e-007
2.890879541491837e+003	2.348154e-007
2.958216776336396e+003	2.347428e-007
3.027122496872397e+003	2.346717e-007
3.097633237824943e+003	2.346019e-007
3.169786384922206e+003	2.345335e-007
3.243620194717839e+003	2.344665e-007
3.319173814875100e+003	2.344006e-007
3.396487304923467e+003	2.343360e-007
3.475601657498728e+003	2.342726e-007
3.556558820077823e+003	2.342104e-007
3.639401717219943e+003	2.341492e-007
3.724174273325711e+003	2.340892e-007
3.810921435926469e+003	2.340301e-007
3.899689199516065e+003	2.339720e-007
3.990524629937733e+003	2.339149e-007
4.083475889339031e+003	2.338587e-007
4.178592261708051e+003	2.338033e-007
4.275924179004435e+003	2.337488e-007
4.375523247899076e+003	2.336951e-007
4.477442277136649e+003	2.336421e-007
4.581735305535515e+003	2.335899e-007
4.688457630639812e+003	2.335383e-007
4.797665838038948e+003	2.334873e-007
4.909417831370027e+003	2.334369e-007
5.023772863019125e+003	2.333871e-007
5.140791565537691e+003	2.333378e-007
5.260535983790726e+003	2.332890e-007
5.383069607853793e+003	2.332406e-007
5.508457406676293e+003	2.331926e-007
5.636765862528867e+003	2.331449e-007
5.768063006253170e+003	2.330976e-007
5.902418453332728e+003	2.330505e-007
6.039903440803988e+003	2.330036e-007
6.180590865027135e+003	2.329568e-007
6.324555320336712e+003	2.329102e-007
6.471873138592517e+003	2.328637e-007
6.622622429651772e+003	2.328172e-007
6.776883122784000e+003	2.327707e-007
6.934737009050580e+003	2.327241e-007
7.096267784671455e+003	2.326774e-007
7.261561095401971e+003	2.326306e-007
7.430704581943393e+003	2.325835e-007
7.603787926411165e+003	2.325361e-007
7.780902899885552e+003	2.324884e-007
7.962143411069883e+003	2.324402e-007
8.147605556082191e+003	2.323917e-007
8.337387669406642e+003	2.323426e-007
8.531590376031785e+003	2.322929e-007
8.730316644803250e+003	2.322426e-007
8.933671843019190e+003	2.321915e-007
9.141763792297426e+003	2.321397e-007
9.354702825743887e+003	2.320870e-007
9.572601846452688e+003	2.320333e-007
9.795576387368843e+003	2.319787e-007
1.002374467254536e+004	2.319230e-007
1.025722767982721e+004	2.318661e-007
1.049614920499537e+004	2.318079e-007
1.074063592740497e+004	2.317483e-007
1.099081747715240e+004	2.316874e-007
1.124682650380689e+004	2.316249e-007
1.150879874674304e+004	2.315607e-007
1.177687310711168e+004	2.314948e-007
1.205119172148705e+004	2.314270e-007
1.233190003722954e+004	2.313573e-007
1.261914688960376e+004	2.312855e-007
1.291308458069300e+004	2.312115e-007
1.321386896015181e+004	2.311352e-007
1.352165950783952e+004	2.310564e-007
1.383661941837861e+004	2.309750e-007
1.415891568768264e+004	2.308909e-007
1.448871920149968e+004	2.308038e-007
1.482620482601822e+004	2.307138e-007
1.517155150058354e+004	2.306206e-007
1.552494233257370e+004	2.305240e-007
1.588656469448549e+004	2.304239e-007
1.625661032328184e+004	2.303201e-007
1.663527542205328e+004	2.302123e-007
1.702276076404738e+004	2.301005e-007
1.741927179912146e+004	2.299845e-007
1.782501876267476e+004	2.298639e-007
1.824021678711804e+004	2.297386e-007
1.866508601593966e+004	2.296084e-007
1.909985172042856e+004	2.294730e-007
1.954474441911605e+004	2.293322e-007
2.000000000000000e+004	2.291857e-007
